danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,target,genre
0.395,0.0167,9,-31.916,1,0.0402,0.993,0.951,0.0735,0.371,64.801,audio_features,2UOsrF7Ihl6nxNYU8wMhLM,spotify:track:2UOsrF7Ihl6nxNYU8wMhLM,https://api.spotify.com/v1/tracks/2UOsrF7Ihl6nxNYU8wMhLM,https://api.spotify.com/v1/audio-analysis/2UOsrF7Ihl6nxNYU8wMhLM,156233,4,1,Classical
0.964,0.346,5,-9.309,0,0.53,0.035,0.0,0.108,0.562,119.958,audio_features,6vN77lE9LK6HP2DewaN6HZ,spotify:track:6vN77lE9LK6HP2DewaN6HZ,https://api.spotify.com/v1/tracks/6vN77lE9LK6HP2DewaN6HZ,https://api.spotify.com/v1/audio-analysis/6vN77lE9LK6HP2DewaN6HZ,142273,4,1,Hip-Hop
0.834,0.531,1,-5.708,1,0.36,0.0662,0.0,0.136,0.415,150.126,audio_features,2zUbimuKNWDMCwbqNauLWV,spotify:track:2zUbimuKNWDMCwbqNauLWV,https://api.spotify.com/v1/tracks/2zUbimuKNWDMCwbqNauLWV,https://api.spotify.com/v1/audio-analysis/2zUbimuKNWDMCwbqNauLWV,224119,4,1,Hip-Hop
0.776,0.736,9,-6.308,1,0.255,0.0101,0.0,0.18,0.536,159.838,audio_features,5krOROgmf8adn3SJzeKLZy,spotify:track:5krOROgmf8adn3SJzeKLZy,https://api.spotify.com/v1/tracks/5krOROgmf8adn3SJzeKLZy,https://api.spotify.com/v1/audio-analysis/5krOROgmf8adn3SJzeKLZy,244187,4,1,Hip-Hop
0.729,0.603,6,-6.736,0,0.0666,0.0948,0.0,0.113,0.207,134.972,audio_features,3XiNC94b4Tq1xwv70sQJGN,spotify:track:3XiNC94b4Tq1xwv70sQJGN,https://api.spotify.com/v1/tracks/3XiNC94b4Tq1xwv70sQJGN,https://api.spotify.com/v1/audio-analysis/3XiNC94b4Tq1xwv70sQJGN,243976,4,1,Hip-Hop
0.0829,0.203,7,-16.043,1,0.04,0.927,0.894,0.107,0.0331,170.632,audio_features,6q7x8MeeUBLG82hYjmaIlV,spotify:track:6q7x8MeeUBLG82hYjmaIlV,https://api.spotify.com/v1/tracks/6q7x8MeeUBLG82hYjmaIlV,https://api.spotify.com/v1/audio-analysis/6q7x8MeeUBLG82hYjmaIlV,189189,5,1,Classical
0.666,0.489,11,-5.944,0,0.0627,0.547,2.13e-06,0.204,0.464,115.555,audio_features,0W45ni3uikr9z0vPjlBIDw,spotify:track:0W45ni3uikr9z0vPjlBIDw,https://api.spotify.com/v1/tracks/0W45ni3uikr9z0vPjlBIDw,https://api.spotify.com/v1/audio-analysis/0W45ni3uikr9z0vPjlBIDw,141589,4,1,Hip-Hop
0.661,0.56,6,-10.551,1,0.213,0.0657,0.0,0.102,0.395,159.994,audio_features,74QQKW9sp5W60iQIugME8e,spotify:track:74QQKW9sp5W60iQIugME8e,https://api.spotify.com/v1/tracks/74QQKW9sp5W60iQIugME8e,https://api.spotify.com/v1/audio-analysis/74QQKW9sp5W60iQIugME8e,149589,4,1,Hip-Hop
0.593,0.592,11,-8.217,1,0.29,0.031,1.12e-05,0.229,0.488,81.33,audio_features,6vB49BJ70zBpDrrAPwdaB8,spotify:track:6vB49BJ70zBpDrrAPwdaB8,https://api.spotify.com/v1/tracks/6vB49BJ70zBpDrrAPwdaB8,https://api.spotify.com/v1/audio-analysis/6vB49BJ70zBpDrrAPwdaB8,272227,1,1,Hip-Hop
0.8,0.578,4,-5.144,0,0.0485,0.00381,0.0,0.359,0.367,143.01,audio_features,0QIjsbm2fh1cJ45XO9eGqq,spotify:track:0QIjsbm2fh1cJ45XO9eGqq,https://api.spotify.com/v1/tracks/0QIjsbm2fh1cJ45XO9eGqq,https://api.spotify.com/v1/audio-analysis/0QIjsbm2fh1cJ45XO9eGqq,204665,4,1,Hip-Hop
